"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322611853.416227","336753934.953917","363962785.331124","393667372.623362","408685455.542039","408342123.588684","430245634.473554","473980107.917085","510210154.355568","568852832.904835","606547130.529633","638168061.372994","671686422.712671","691915238.464407","706977355.278741","715166459.698966","752927760.027776","803194686.723159","768179462.627828","818916318.726581","863720310.934644","904585628.440106","938126710.276696","995208296.177395","943495617.498102","953758205.22679","1012037976.60405","1070851865.89235","1138179361.2699","1283922782.22347","1403194258.38824","1403863250.79735","1234900516.62948","1147942222.22222","1127700866.74268","1170976046.78959","1168633021.41119","1222422783.91485","1272872136.74939","1328568931.12511",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","198403347596.226","203313761339.706","206011053629.746","218810461305.137","234073562987.134","248067635932.133","253933458571.875","269925645553.726","283669145945.56","303669685479.496","325434740766.851","338462896934.326","351702827324.153","360844684021.891","375627656360.08","380634257632.033","390496308345.481","404584143923.277","408218254242.732","424775441917.043","437741359095.506","452433801995.132","467451989213.874","457023321210.849","478187002370.607","503288714107.853","523924576308.847","537433670118.687","568480417754.417","590542118612.778","611392988230.359","609098228622.501","611756722581.728","636606245168.691","662399052173.537","688161952131.715","715336141373.205","743574859816.367","776590622740.841","815473016603.615","847014442957.207","863362281304.841","896627000185.363","924138249925.788","962449985006.192","993282533523.894","1022863027574.33","1061217602478.34","1100462922393.92","1120402839535.96","1142876772659.21","1169995189300.16","1212515734975.18","1243675644409.11","1276128831536.8","1307031702029.1","1343181238465.26",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","92232299993.2626","97340105690.3401","99918328844.6819","104053216655.308","110425803718.66","114268814842.672","120716845700.159","124348066118.762","129909300574.534","138062235714.962","145719206532.065","153172698387.31","162681446550.024","170637277635.537","177364034746.64","176718898455.461","184809876726.225","194198183053.311","193789097740.991","204169798094.452","207704968275.997","207405261484.496","211576708882.031","217867070651.198","217978782543.024","223425371503.273","228567266816.617","231669308614.032","239304851616.878","248606810104.9","259410370977.008","268338309349.73","273956038186.697","275399264576.236","282014681958.786","289538787622.996","296482837756.942","303020342559.79","313807766511.88","325073426890.886","336023225281.315","340561272971.019","346200473642.156","348818291289.69","358256418094.219","365925550885.24","378187098989.895","391883184200.116","397946651001.575","382828359077.476","390211866490.257","401169015436.419","404160757840.691","404662820663.575","407272267948.545","411194537731.549","417283221574.656",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316698.5034","57195531761.5917",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","596608253.670717","514597677.373498","561236477.601625","584445892.538846","621108404.900661","645749176.597434","675537540.239403","768907087.027305","766616638.352635","755427553.105214","916527545.705428","941702987.478465","881396658.482324","942116521.310875","935268845.712752","941796276.24958","1016599961.55636","1133198416.79516","1122539824.57715","1141229606.95514","1152539828.31177","1292726423.68618","1279106260.4105","1326629240.55262","1328692732.80246","1485254991.58896","1533528459.0815","1617920004.19458","1699317953.86504","1722250287.54588","1782525984.41627","1871595892.56201","1890498980.49241","1772531844.12476","1704643874.55341","1569636079.67758","1444065193.28183","1421104556.74908","1488607023.0819","1473572092.20535","1460945582.56049","1490979805.70997","1557276512.30296","1538219684.21923","1612571959.3767","1627085107.05727","1714698065.64965","1796760633.53677","1887463244.56885","1952928499.631","2026864469.36388","2111823040.97987","2196704928.33329","2297622743.75537","2404713060.02967","2310810954.30977","2297241391.77883",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120556600339.943","126558417935.467","133154647119.522","138948983813.889","148615226558.14","153906909246.114","158764049671.554","164905276411.701","171821617462.785","183213046705.604","194126937493.88","201864501972.132","212554447489.586","226119039071.86","236441956772.931","231793646111.757","244896351816.798","246429782107.205","253433061694.817","259366114671.589","270892485091.078","270135926692.145","271743200135.669","272590611668.338","279313739194.219","283927423572.638","289102745107.736","295771360779.863","309741260018.58","320486701039.831","330541658668.503","336600732883.811","341752928113.708","338465698666.694","349387890223.987","357719943148.016","363420465333.691","376904080280.284","384349864117.636","398044609540.077","412508919209.612","415857023442.794","423260331398.524","426538475161.325","442042196190.318","451300703622.991","462579317138.064","478295418104.937","481869644106.83","470858379177.385","483548693409.337","492236274172.195","492910892151.77","492603566078.814","500712724326.763","508103539383.924","514165107093.155",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14604","2813373991.71362","2771173298.85902","2865538547.23059","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72688","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.863","5434858389.27325","5675602453.88052","5772744795.73959","6000595826.41589","6359822426.97484","6671033590.82541","6825749997.99683","6970240895.49888","7176751732.08258","7521973830.26825","8063036667.99131","8575645913.59089","8755259213.87036","9103831277.94119",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1120811786.71408","1166136608.12129","1237606774.3496","1221913717.82207","1249807799.06317","1296857380.82891","1303829455.77746","1418870435.39902","1462440738.93933","1492070973.4818","1493816989.12931","1514929700.39977","1549947281.35529","1556911619.25307","1685923955.97753","1736474411.41912","1884680678.60643","1891660660.55673","1978825073.48837","2051341522.81294","2067688230.00799","2155674637.4471","2361804484.82691","2369975967.92579","2327821283.9124","2526090319.10269","2727049966.82507","2720604944.37292","2878280133.12906","2940170848.93659","2922443721.52739","3187508912.94656","3194926589.244","3305515296.89289","3348983063.42876","3540423456.06994","3930392031.64154","4178668400.71732","4484033771.84056","4816039657.21809","4903703228.63079","5228004716.13786","5455579987.43138","5881248337.04976","6144638535.20599","6676878621.26332","7094394431.21954","7495582799.41617","8042347948.05677","8280563450.07509","8979966766.07232","9565619495.08764","10182857809.2713","10469470948.1163","10907717217.1568","11343810190.1629","12008749185.1799",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588846353.8372","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596866823.802","146997351891.58","156629549345.307","167771375851.352",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567898146.9848","29967771396.1387","30667388675.8994","31719373922.908","32796704575.6997","33676784707.6526","35093769776.0095","37218526923.6436","41291980086.2505","39933522637.8896","36292632791.0639","33227591026.6062","30811151715.1596","30355080478.4888","30906939253.716","31790936266.938","32299591235.2962","31944295760.0686","33062346058.1987","31207548452.1041","32771342925.1612","34163477849.7148","36219477716.4549","38058529754.9607","40553481999.7745","43488010218.2093","46424813785.3817","49988081046.8084","52810910665.6526","50582434409.9591","50610031135.7791","51579222347.1984","51595182819.3635","52039981143.4083","52731514288.3384","54639046566.9725","56520013255.6346",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39138","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.8269","24645054296.3673","25713271276.5957","26223377131.9619","27202099523.9053","28675502255.2549","29922841390.6393","30779223483.5898","",
