"World coal consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=7-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-7-IEO2016~Reference-d021916a.3-7-IEO2016~Reference-d021916a.4-7-IEO2016~Reference-d021916a.5-7-IEO2016~Reference-d021916a.6-7-IEO2016~Reference-d021916a.7-7-IEO2016~Reference-d021916a.8-7-IEO2016~Reference-d021916a.9-7-IEO2016~Reference-d021916a.10-7-IEO2016~Reference-d021916a.11-7-IEO2016~Reference-d021916a.14-7-IEO2016~Reference-d021916a.15-7-IEO2016~Reference-d021916a.16-7-IEO2016~Reference-d021916a.17-7-IEO2016~Reference-d021916a.18-7-IEO2016~Reference-d021916a.19-7-IEO2016~Reference-d021916a.20-7-IEO2016~Reference-d021916a.21-7-IEO2016~Reference-d021916a.22-7-IEO2016~Reference-d021916a.23-7-IEO2016~Reference-d021916a.24-7-IEO2016~Reference-d021916a.25-7-IEO2016~Reference-d021916a.26-7-IEO2016~Reference-d021916a.28-7-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:42:47 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Pinned Series,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
OECD,"",""7-IEO2016.1.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Russia,"Coal consumption: Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference case,""7-IEO2016.15.Reference-d021916a,"quad Btu",4.625,4.688,5.428,5.407,5.55,5.45,5.38,5.306,5.314,5.333,5.32,5.317,5.324,5.333,5.331,5.343,5.4,5.451,5.503,5.515,5.546,5.56,5.561,5.606,5.638,5.691,5.691,5.664,5.633,5.592,5.511,"0.1%"
Other,"Coal consumption: Non-OECD: Non-OECD Europe and Eurasia: Other": Reference case,""7-IEO2016.16.Reference-d021916a,"quad Btu",4.398,4.952,4.808,4.555,4.353,4.117,4.072,4.04,4.007,4.048,4.059,4.066,4.073,4.081,4.084,4.09,4.09,4.09,4.089,4.089,4.09,4.096,4.097,4.095,4.091,4.092,4.09,4.088,4.091,4.088,4.087,"-0.6%"
Non-OECD Asia,"Coal consumption: Non-OECD: Non-OECD Asia": Reference case,""7-IEO2016.17.Reference-d021916a,"quad Btu",86.773,93.263,95.534,99.083,101.98,102.898,104.12,105.691,107.479,108.32,109.198,110.571,110.856,111.588,112.407,112.931,113.169,113.495,113.802,114.068,114.376,114.83,115.165,115.585,116.063,116.598,117.07,117.544,118.111,118.655,119.527,"0.8%"
China,"Coal consumption: Non-OECD: Non-OECD Asia: China": Reference case,""7-IEO2016.18.Reference-d021916a,"quad Btu",69.272,75.416,76.46,79.96,82.175,82.608,83.477,84.763,86.188,86.401,86.586,86.901,87.052,87.528,87.842,87.992,87.84,87.717,87.556,87.304,87.04,86.801,86.402,86.055,85.735,85.395,85.025,84.617,84.241,83.806,83.32,"0.3%"
India,"Coal consumption: Non-OECD: Non-OECD Asia: India": Reference case,""7-IEO2016.19.Reference-d021916a,"quad Btu",11.344,11.9,12.98,13.108,13.665,13.992,14.186,14.376,14.594,14.899,15.254,15.829,15.926,16.053,16.436,16.663,16.91,17.204,17.513,17.864,18.27,18.78,19.319,19.886,20.472,21.123,21.734,22.37,23.045,23.735,24.753,"2.3%"
Other,"Coal consumption: Non-OECD: Non-OECD Asia: Other": Reference case,""7-IEO2016.20.Reference-d021916a,"quad Btu",6.157,5.947,6.094,6.014,6.141,6.299,6.457,6.552,6.698,7.02,7.357,7.84,7.878,8.007,8.129,8.276,8.419,8.575,8.734,8.9,9.066,9.249,9.444,9.644,9.856,10.08,10.311,10.556,10.825,11.115,11.454,"2.3%"
Middle East,"Coal consumption: Non-OECD: Middle East": Reference case,""7-IEO2016.21.Reference-d021916a,"quad Btu",0.052,0.07,0.091,0.088,0.089,0.096,0.1,0.103,0.107,0.11,0.114,0.118,0.123,0.128,0.135,0.14,0.147,0.153,0.159,0.165,0.17,0.175,0.179,0.184,0.19,0.195,0.2,0.206,0.211,0.216,0.222,"3.2%"
Africa,"Coal consumption: Non-OECD: Africa": Reference case,""7-IEO2016.22.Reference-d021916a,"quad Btu",4.748,4.559,4.758,4.676,4.777,4.857,4.901,4.979,5.082,5.204,5.351,5.602,5.631,5.665,5.712,5.768,5.814,5.865,5.917,5.971,6.031,6.099,6.166,6.248,6.326,6.413,6.509,6.608,6.717,6.833,6.96,"1.4%"
Central and South America,"Coal consumption: Non-OECD: Central and South America": Reference case,""7-IEO2016.23.Reference-d021916a,"quad Btu",0.827,0.865,0.871,0.882,0.867,0.831,0.816,0.799,0.814,0.84,0.851,0.862,0.876,0.891,0.904,0.918,0.93,0.943,0.956,0.97,0.983,0.998,1.013,1.028,1.043,1.058,1.074,1.091,1.11,1.128,1.148,"1.0%"
Brazil,"Coal consumption: Non-OECD: Central and South America: Brazil": Reference case,""7-IEO2016.24.Reference-d021916a,"quad Btu",0.511,0.538,0.556,0.573,0.544,0.516,0.501,0.484,0.496,0.519,0.528,0.536,0.545,0.554,0.562,0.57,0.579,0.587,0.596,0.604,0.612,0.621,0.629,0.638,0.646,0.655,0.663,0.672,0.682,0.691,0.7,"0.8%"
Other,"Coal consumption: Non-OECD: Central and South America: Other": Reference case,""7-IEO2016.25.Reference-d021916a,"quad Btu",0.316,0.327,0.315,0.309,0.324,0.315,0.314,0.315,0.318,0.32,0.323,0.326,0.332,0.337,0.342,0.347,0.352,0.356,0.361,0.366,0.371,0.377,0.384,0.39,0.397,0.404,0.411,0.419,0.428,0.437,0.449,"1.3%"
Total Non-OECD,"Coal consumption: Non-OECD: Central and South America: Total Non-OECD": Reference case,""7-IEO2016.26.Reference-d021916a,"quad Btu",101.423,108.397,111.49,114.691,117.617,118.249,119.388,120.917,122.803,123.854,124.892,126.535,126.882,127.686,128.573,129.19,129.55,129.997,130.427,130.778,131.196,131.758,132.182,132.746,133.35,134.046,134.635,135.201,135.873,136.513,137.455,"0.8%"
Total World,"Coal consumption: Total World": Reference case,""7-IEO2016.28.Reference-d021916a,"quad Btu",145.922,151.985,153.269,156.498,160.255,160.766,161.724,163.566,165.594,167.247,168.615,170.284,170.714,171.619,172.606,173.15,173.412,173.711,174.004,174.124,174.447,174.915,175.262,175.748,176.288,176.945,177.479,177.977,178.655,179.248,180.181,"0.6%" 
