GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,Italy ,Netherlands ,Norway ,Sweden ,Switzerland ,UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Serbia/Montenegro/Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (& Timor until '99),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,Turkey ,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,S. Tomé & P.,Senegal ,Seychelles,Sierra Leone,Somalia ,South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Zaire (Congo-Kinshasa),Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,World Total
1959,42445,60160,39270,25285,321924,516821,281707,87793,24423.99551,62219,62425,428107,1952579.996,11481,25107,25039,92651,8279,2115136.996,87421,22449,155062,1997061,2261993,2170,20925.56347,64836.71692,34621.64252,90262.11281,32496,41573.76921,286885.8049,,,,,,,,,,,,,,,,,,,,,,,,,770244,106303,154538,29910.3589,38207,112599,25907,12125,72658,552247.3589,5289,3118,14263,4012,9490,4375,8778,3688,2569,4064,2920,2589,2944,7521,4692,80312,6685,639244.3589,457139,305499,93129,331570,41548,29803,26457,13912,28126,12457,8981,12026,5957,31095,3470,12385,1413554,7016,3646,1521,528,11260,24289,5439.080138,53699.08014,418.8236263,42360,16715.10455,9370.166336,1858.49702,7747.029018,4164.281912,527.5885455,1414.896391,15954.90993,13459.9271,61600,2096.985553,5510.142971,1462,184660.3529,1651913.433,21323.38116,5777,1950.295593,195.0023337,2876.877269,1230.321123,4541.87856,92.7541335,1346.282491,1717,119.9559819,1372.262115,4123.436645,130.3618142,25402.07715,165,10790.16667,1791.211947,238.3296399,8931.802541,1138.715405,292.2384134,5698.883242,366.4457984,1257,1897,6085.806298,1324.378503,2333.444909,646.5874233,1732.663952,16402,9684.347062,1412.140069,2797.437176,32620.62739,1929.154868,49,4626.813187,90.980918,1986.018957,3726,50835.46145,10639.97663,289.2268549,4525.434951,932.3093525,4959.140424,4941.812709,12144.92123,2902.161595,3596,53,288032.5259,,8013450.118
1960,45939,63394,40367,27598,344609,558482,296981,95180,25798.24923,65764,66793,452768,2083673.249,12127,26195,26711,94119,8487,2251312.249,91085,22449,159880,2046727,2320141,2355,22907.53174,69749.43049,36430.8495,95121.44593,33930.72046,44189.61539,304684.5935,,,,,,,,,,,,,,,,,,,,,,,,,843434,114614,167397,32391.54312,39831,121723,29486,12554,72889,590885.5431,5516,3389,14419,4209,10106,4553,8992,3926,2728,4330,2960,2744,2970,8066,5258,84166,7060,682111.5431,441694,326910,97082,375090,42114,30395,29665,14697,29733,12871,9637,12899,6091,32621,3803,12841,1478143,7268,3863,1568,559,11483,25297,5677.319328,55715.31933,445.4079303,46467,18658.39387,9986.147882,1977.045046,8420.138393,4273.606735,560.1632567,1495.747614,17547.81782,13704.04085,63417,2311.655411,5660.104043,1534,196458.2689,1730316.588,22779.73047,6011,2010.109492,199.9523929,2961.979699,1249.039702,4666.493279,99.8637477,1357.947033,1730,130.2426637,1418.796256,4492.610757,138.9145575,26617.21068,182,11345.66667,1866.168868,253.9875346,9591.436661,1186.554,308.8146138,5917.917888,393.2840823,1297,2448,6169.293893,1359.975168,2399.152022,697.9038855,1841.704353,16507,9918.131592,1545.341934,2977.070588,34080.53808,1989.190808,55,4723.692308,98.59412068,2050.393365,3775,52972.27407,10838.23706,328.8305321,4710.352427,1015.719424,5570.702405,5176.956522,12423.22623,3123.198321,3762,58,300822.2002,,8432822.174
1961,48378,66478,42926,29701,363754,581487,321992,95455,27415.21271,69462,72200,467694,2186942.213,12706,28492,28170,106187,8876,2371373.213,91713,23704,164598,2094396,2374411,2452.862854,24401.18898,72524.97487,38272.95114,102714.1539,36224.89986,46189.96835,322781,,,,,,,,,,,,,,,,,,,,,,,,,891763,122809,179951,33940.65868,41847,126365,32105,12912,70643,620572.6587,5631,3530,14625,4114,10360,4713,9378,3767,2798,4453,3182,3040,3111,8835,5488,87025,7458,715055.6587,365092,336744,103446,420246,44480,31930,31210,15708,31421,13183,10276,13794,6238,34602,4123,13104,1475597,7331,3827,1617,592,11972,26554,5977.889804,57870.8898,473.6839628,50405,20805.86939,11076.79756,2381.228477,8495.392857,4555.200978,566.5564243,1497.273108,19631.51356,14832.01472,64480,2526.325268,5810.391446,1588,209125.2478,1742593.138,20012.66678,6635,2075.361017,207.0024773,3080.292833,1078.019961,4722.241969,106.5783833,1409.465424,1753,131.6529345,1465.330396,4912.397448,149.6279939,28372.40356,200,11901.16667,2089.747272,295.6869806,9930.167695,1264.977925,330.8609603,5774.549756,400.2517136,1328,2688,6296.722328,1427.517559,2414.315202,816.8647751,2261.09051,17085,10201.50678,1562.367736,3100.190118,35229.32027,1903.80636,60,4937.494505,93.56059825,2087.374408,3956,55246.94556,10838.23706,370.8344322,4656.558252,1085.003597,6052.895505,5123.859532,11070.35468,3129.947534,3956,62,307340.2174,,8725317.226
1962,49550,69904,45295,30627,387937,606292,347098,101993,28187.2265,72610,75661,472454,2287608.227,13120,29562,30040,118386,9269,2487985.227,97444,24215,176130,2220732,2518521,2611.889676,26404.70038,73496.41541,39868.34274,101317.0957,37497.30187,47057.25425,328253,,,,,,,,,,,,,,,,,,,,,,,,,915928,120833,190932,35548.98278,44120,132039,34500,12624,73762,644358.9828,5945,3746,14845,4815,10911,5276,9709,4128,2959,4533,3529,3295,3330,9500,5781,92302,7878,744538.9828,366465,344204,103332,457742,46603,32898,33636,16949,31258,14332,12072,14578,6385,37111,4411,13575,1535551,7457,4139,1667,627,12249,29917,6171.541937,62227.54194,503.6517237,51389,21840.88219,12171.07066,2445.63646,9473.700893,4730.78327,680.7201315,1555.241909,21973.51869,18350.61981,68422,2808.785607,5969.548078,1683,223998.1594,1821776.701,15764.98129,6444,2004.671864,213.0025491,3269.178714,1175.867076,4866.532695,113.2271892,1372.52771,1846,143.5987585,1512.854626,5129.73382,158.0907083,30262.61128,221,12389.33333,2153.072947,292.0609418,10411.52232,1359.086637,352.9073069,6085.180708,461.9281544,1345,3566,6441.727099,1427.517559,2427.793584,799.1372699,2277.865957,17684,10902.86037,1782.701648,3427.163294,37239.68909,2119.935744,65,5101.186813,101.1738009,2181.881517,4130,58348.77033,11591.62671,449.2417123,5080.187379,1125.363309,5911.765817,5332.454849,13420.48584,3096.201469,4016,67,319462.7018,,9136465.612
1963,51567,72988,45579,31636,408090,623382,371822,105686,29265.20216,76200,79370,490625,2386210.202,13741,32567,31823,130477,9756,2604574.202,103413,25749,185041,2316765,2630968,2781.592448,27611.11584,72108.64322,42055.83845,107391.2621,40196.33646,51967.21152,344112,,,,,,,,,,,,,,,,,,,,,,,,,895016,117927,192912,37797.86652,45571,141839,36098,12686,77134,661964.8665,6327,4067,15064,5129,11189,5504,10635,3860,3069,4681,3912,3606,3421,10488,6076,97028,8321,767313.8665,402776,361442,99371,496514,49893,35797,36360,18534,34573,14737,13968,15271,6537,39439,4848,13856,1643916,7594,4451,1718,660,13295,30821,6538.467197,65077.4672,536.277915,57043,21446.5916,13461.00848,2581.920018,9983.758929,4770.537751,711.1637867,1657.450058,23885.00817,18342.20209,74866,3096.895152,6148.374937,1783,240313.1889,1949306.656,19927.71307,6791,2097.111525,220.0526335,3227.665334,1224.365212,5046.896104,119.8759951,1368.639529,1819,174.2099323,1563.349119,5972.284412,170.9648378,32287.83383,252,14030.58333,2229.322229,294.0387812,10774.02396,1286.152385,369.4835073,6391.829212,510.9596344,1377,4814,6380.209924,1402.873714,2591.218968,750.1533742,2595.40119,18303,10513.21949,1960.971813,3766.246588,40733.90156,1911.811152,70,5298.285714,111.2408458,2218.862559,4290,62622.39556,11261.19265,475.0441081,5399.590291,1180.521583,6805.587174,5943.070234,14123.97905,3163.693599,3976,72,342260.8257,,9533551.55
1964,54662,78128,49843,33235,435296,661273,386333,114446,30721.92186,81344,83541,516584,2525406.922,14279,35243,33921,143308,10165,2762322.922,110488,27004,197098,2450915,2785505,2961.837221,29786.9723,75494.80737,44424.25485,112189.8535,42741.14049,56919.13423,364518,,,,,,,,,,,,,,,,,,,,,,,,,1010727,130074,199423,38638.90402,48389,157312,38614,12940,83688,709078.904,6632,4265,15296,5472,11977,6017,11128,3772,3229,5050,4370,3761,3569,11232,6283,102053,8790,819921.904,450312,389262,103043,554449,51613,38888,38841,20796,34939,14999,15165,16235,6689,42417,4680,14515,1796843,7741,4331,1772,699,14445,32322,6838.3276,68148.3276,570.5958348,61178,24023.56222,14779.93368,3031.842451,10962.06696,5058.75774,711.7726598,1712.36787,25985.92453,18754.67015,77951,3414.380573,6307.368404,1891,256333.2431,2121324.571,20971.43007,7587,2240.302373,228.0027286,3302.389419,1298.388682,5227.259512,126.524801,1390.996567,1773,187.5660271,1615.823789,7041.103008,181.6782742,34448.07122,288,14720.75,2268.09305,313.9819945,11005.7873,1370.065986,391.5298539,7013.091117,552.7654227,1447,6812,6635.066794,1369.102519,2714.209205,974.0797546,2416.862512,18944,10966.61979,2279.454467,3776.338353,42481.0078,1673.001525,75,5451.956044,116.3372873,2244.886256,3826,66827.09136,11142.23639,544.8505897,5695.458252,1350.705036,7099.607358,6394.394649,13776.09779,3585.519412,4326,78,360566.4843,,10224885.88
1965,56234,80870,52117,35002,456456,694798,395020,120435,32353.41104,85422,86195,529996,2624898.411,14528,38553,36446,152794,10877,2878096.411,116131,28724,210203,2607294,2962352,3155.958984,31575.05237,78270.35176,44769.64891,118385.5033,45401.61744,58457.86728,380016,,,,,,,,,,,,,,,,,,,,,,,,,1068117,141960,203444,38951.2201,50136,167116,41213,13088,89240,745148.2201,6958,4651,15529,4791,13131,6340,11613,3813,3509,5456,4786,4091,3773,12254,6603,107298,9285,861731.2201,501769,373814,104070,586744,54331,41230,41933,23111,36647,15379,17360,17405,6849,44307,5033,14971,1884953,7914,4538,1826,740,15370,32666,7218.622607,70272.62261,607.3305095,68688,26206.24226,16171.32729,3379.08549,11204.55357,5568.94025,714.8170253,1836.695693,29137.29908,18704.16386,80008,3762.37171,6486.195263,2010,274485.022,2229710.645,22367.09816,8194,2356.305085,235.052813,3429.005229,1346.886817,5332.198223,133.1736069,1409.465424,1783,188.3126411,1670.278634,6886.288058,194.4623747,36724.03561,325,15587.66667,2305.571511,348.4293629,11154.35354,1464.174697,413.7419624,7092.740079,565.1523229,1472,8733,6604.308206,1554.387726,2752.959554,1109.368609,2494.748512,19608,11214.57308,2432.686687,4060.926118,45352.96325,1790.40514,80,5655.736264,116.3372873,2405.137441,3572,70824.99883,11895.62604,629.8584827,5900.548544,1535.014388,7546.518036,6534.722408,13915.25029,4238.505771,4608,84,380228.9735,,10760252.25
1966,59399,83440,53539,35843,479631,715393,415639,123754,33577.02792,88043,88305,540163,2716726.028,14652,40907,37929,164199,11398,2985811.028,119363,30536,223832,2778086,3151817,3359.999969,34066.87478,81656.51591,47318.98601,125856.728,50587.6196,61605.27578,404452,,,,,,,,,,,,,,,,,,,,,,,,,1119932,142919,216181,43294.73389,52806,177427,44689,13536,90842,781694.7339,7461,5013,16380,5434,13475,6794,12255,3790,3713,5695,4944,4395,3815,13119,6891,113174,9808,904676.7339,548841,377207,104089,649189,56736,46195,46654,25171,37115,14737,17659,18278,7331,47919,5593,14804,2017518,7993,4744,1883,782,17308,32975,7609.239779,73294.23978,645.7569126,75579,27593.30022,16348.87491,3474.297291,12584.21875,5949.920695,752.2627213,2492.65844,33373.57306,17264.7345,89366,4146.51777,6673.728186,2130,298374.8435,2389187.083,21286.97242,8635,2443.307119,258.0030876,3445.610581,1408.998465,5581.42766,139.8882425,1420.157921,1752,208.1393905,1757.406388,7431.117593,209.4071683,36936.20178,339,16193.66667,2408.960368,406.4459834,11166.23884,1495.544268,435.622547,8004.720696,562.3136583,1751,10345,6740.524809,1714.116353,2869.2106,1115.433282,2406.078296,20700,11575.87644,2525.82784,4010.467294,43893.05256,1915.813548,86,5816.087912,118.7911294,2558.540284,4079,73892.35888,11717.19165,656.6609713,6657.029126,1676.273381,7734.690953,6940.535117,14858.39503,4007.345226,4678,91,391056.4515,,11346932.3
1967,61205,86695,55339,36600,501799,717610,445232,130267,35674.72273,91450,91008,552277,2805156.723,15521,43152,40792,175227,11862,3091710.723,127422,29142,230647,2847549,3234760,3578.629581,35898.04111,85153.70184,50032.79646,130412.3528,52901.07781,62668.40043,420645,,,,,,,,,,,,,,,,,,,,,,,,,1169422,146755,224877,44700.3295,55028,188258,46473,12975,96334,815400.3295,7928,5320,18294,5617,14188,7164,12757,3713,3922,5915,5288,4762,4058,13944,7035,119905,10359,945664.3295,533407,408349,101739,721132,59756,49555,50552,27867,36302,15151,17959,18587,7216,49718,6255,16157,2119702,8214,4988,1941,828,18711,28829,7904.179131,71415.17913,687.8084481,84102,26952.57802,16758.32146,3839.275862,12885.23661,5668.326453,1250.320921,3014.377648,36309.68978,18695.74614,93377,4570.208278,6868.19857,2045,317024.0882,2508141.267,23277.31648,9064,2466.870169,283.9533982,3748.658259,1537.475982,5735.556391,146.5370484,1487.229034,1764,217.1817156,1850.47467,7538.297174,224.351962,36473.29377,362,16875.41667,2508.472142,420.6204986,11368.28893,1542.598623,463.3048017,8418.895299,623.990099,1740,11515,7114.021947,1889.361476,2963.559275,1154.153885,2510.325712,21853,12369.32697,2423.673027,4028.632471,37072.15835,2050.56088,91,5745.934066,118.7911294,2542.104265,4313,78958.67266,11353.71419,719.0667657,6926,1769.100719,7683.727455,7312.214047,14711.51184,4317.809024,5068,98,398811.2033,,11769154.52
1968,63925,90293,57613,37442,523967,755463,482462,138627,36475.86477,95229,94272,574775,2950543.865,16804,46027,44421,185747,12261,3255803.865,134913,29095,242703,2983081,3389792,3809.888452,36558.6972,89122.73032,50641.3479,138308.7691,54019.24928,63983.31776,436444,,,,,,,,,,,,,,,,,,,,,,,,,1237966,153002,244921,46300.68986,58398,201669,45980,13181,102916,866367.6899,8604,5730,17230,5628,14973,7396,13877,3860,4154,6218,5360,5109,4202,14606,7400,124347,10942,1001656.69,522728,418907,111662,813984,62712,55880,54695,30423,39678,16148,18557,20217,7265,53195,7123,17362,2250536,8508,5214,2001,876,21268,28329,8399.67279,74595.67279,731.551712,96759,31740.39229,19320.08001,3696.45816,14089.30804,6380.594242,2274.445484,3473.551572,39547.16745,19394.41653,99650,5036.832757,7052.357454,1859,351005.1557,2676136.828,25995.83519,8947,2561.122373,313.0537465,3864.895724,1520.459092,6109.400547,153.1858543,1494.03335,1756,217.513544,1947.503304,8714.295351,239.2967556,37051.92878,375,17161.58333,2571.797817,426.5540166,11528.74047,1589.652979,485.3511482,9028.20986,621.6675552,1823,15395,7597.371183,1868.36857,3074.755927,1256.320297,2337.778265,23071,13757.86539,2443.703382,4060.926118,36665.298,2193.313004,96,6106.725275,128.9210933,2791.383886,4388,82370.67991,12047.62571,685.8636828,7282.386408,1858.564748,8491.302891,7498.053512,15345.42879,4378.551941,5168,105,418961.2688,,12416760.65
1969,67945,96302,61283,41048,560280,805410,510051,147552,38121.9565,99919,99584,585207,3112702.956,17815,50585,45364,202472,13144,3442082.956,143118,32099,255497,3076517,3507231,4058.239591,38339.59622,90760.30151,52154.50282,136911.7108,56506.21686,71131.43219,449862,,,,,,,,,,,,,,,,,,,,,,,,,1255392,166080,266292,48023.44903,62116,213924,47166,13984,106612,924197.449,8989,6111,17018,6244,15792,7653,14532,3986,4187,6681,5716,5507,4365,15899,7604,130284,11558,1066039.449,567545,446872,125408,915556,65632,64350,58980,33145,40227,16815,20652,21382,7590,56642,8098,18053,2466947,8645,5292,2063,927,24743,30702,8805.273814,81177.27381,778.6784328,109304,32817.65051,21755.01883,4030.632913,14473.94196,6519.734927,2858.354792,3706.189523,42577.99762,23030.86963,104929,5554.300097,7260.213266,1931,381527.5825,2929651.856,28483.76527,9255,2637.249153,343.9541163,3941.695478,1500.889669,6411.099339,159.7688304,1564.992643,1876,221.1636569,2050.472467,9098.355515,256.4022422,39597.92285,364,17801.25,2779.867892,472.5387812,11938.7833,1636.707334,512.8676409,9589.735043,630.9577304,1955,17389,7882.986641,1987.936857,3059.592748,1236.726738,2452.809897,24356,15394.35711,2528.832394,3939.824941,46501.74543,2434.790895,101,5709.186813,128.9210933,3044.772512,3840,87436.99369,12781.18932,714.6663571,7416.871845,2060.363309,8793.163613,8324.849498,16775.6073,4354.929696,5812,114,451653.5576,,13101912.82
1970,72785,102265,62524,44114,592389,843103,521506,155955,38879.4446,104647,105935,599016,3243118.445,18289,54609,49498,214070,13713,3593297.445,152220,31644,262098,3081900,3527862,4320.851034,40522.63373,92592.1608,51973.58213,144018.4855,57778.61888,74488.66792,465695,,,,,,,,,,,,,,,,,,,,,,,,,1351818,174972,292480,49010.94965,66308,227970,50848,14638,114807,991033.9497,9459,6515,16380,6906,16899,7881,15364,4174,4296,7481,5771,5839,4636,17280,7873,136754,12210,1139997.95,636937,469584,138612,1013602,68102,69877,62842,36868,42403,17575,22548,22684,7787,62522,9209,18912,2700064,8819,4785,2127,982,27184,31295,9640.227183,84832.22718,831.6053653,120865,32690.91425,23519.62478,3600.31291,22944.25,6950.408474,2957.296671,3755.768102,46573.18283,22155.42721,110071,6122.610299,8730.60565,2044,413812.0065,3198708.234,31335.78267,9909,2691.625424,378.0045237,3949.998154,1902.488265,6604.580087,166.4176363,1637.896027,1912,238.3357788,2158.39207,10086.78943,326.9848819,42105.34125,354,18811.25,3020.246984,425.8947368,12515.22033,1693.9568,540.3841336,10290.64591,644.6349327,2083,18222,8296.030534,2017.144377,3248.290098,1365.017894,2443.223927,25713,16216.14515,2539.849089,4060.926118,60813.65679,2701.617295,106,6196.923077,139.0510572,3148.867299,4174,91986.33668,12245.88614,926.4860247,7847.225243,2112.158273,9314.559405,8450.006689,16736.95382,4562.467996,7072,123,488561.693,,13765940.32
1971,76506,106103,64191,45036,621055,867917,531385,162539,40874.153,107112,110253,611705,3344676.153,18923,58496,52781,226319,14651,3715846.153,158992,33285,276694,3178106,3647077,4602.134339,41843.9459,95756.28141,54292.65652,154283.8267,65933.55908,83077.59602,499790,,,,,,,,,,,,,,,,,,,,,,,,,1387832,183458,322159,53399.99509,70250,237480,53131,14498,116494,1050869.995,9820,6945,17656,7637,17872,8245,16221,4445,4462,7481,6055,6312,4839,18375,7954,144319,12897,1208085.995,668646,474338,146200,1061230,71799,76695,65886,41674,40552,18149,24144,24359,7693,62824,10362,18752,2813303,8398,4546,2193,1041,36229,32889,10440.73314,95736.73314,897.5827744,135829,34711.65351,26106.74728,3681.522976,24537.13616,7589.793047,2982.564905,4664.96298,53289.22694,24352.45096,120046,7147.376407,10252.76528,2169,458257.7832,3367297.516,28665.80893,9943,2704.31322,448.0553621,4105.673331,2052.236894,6801.340169,154.8315983,1590.265817,1948,280.477991,2332.647577,10592.91522,361.1058264,43860.53412,325,19602.41667,3330.413555,474.8462604,13513.58548,1746.500831,519.3323591,10943.7674,584.5068545,2186,17142,8621.192748,2307.394111,3361.171548,1378.080266,2563.048544,27154,17321.30839,2626.981136,4291.018353,67969.61247,2733.636463,111,6186.901099,161.8277463,3120.104265,4282,96501.21495,13091.79733,941.6874362,8176.714563,2262.161871,10302.46722,8700.32107,17803.78968,4560.780693,7692,132,510563.7874,,14336492.45
1972,81256,111679,67578,48473,648668,903739,546933,167919,42955.93873,109915,113781,633352,3476248.939,20151,65775,57011,245019,15548,3879752.939,163453,34711,291314,3346554,3836032,4901.054288,43825.91417,99142.44556,55460.41738,165521.0346,70174.89914,85945.23488,524971,,,,,,,,,,,,,,,,,,,,,,,,,1395732,189183,356880,52752.16421,75637,257636,54837,13992,117982,1118899.164,10321,7556,18507,8581,18972,8712,17412,4603,4635,7706,6248,6645,5088,19732,8414,153132,13544,1285575.164,688186,472766,162748,1150516,75710,82304,68666,47224,35732,18284,26639,26195,7934,63323,11752,19147,2957126,8240,4301,2261,1103,37854,35815,11005.31562,100579.3156,968.8770444,157909,33430.2091,29342.4621,3800.071003,25502.90179,8514.084737,3261.733224,5262.956927,61469.02426,30446.87699,127931,8342.74856,11070.20873,2306,509558.1545,3567263.47,34685.38608,10091,2941.756271,592.0570854,4271.726853,1831.017328,7096.480292,147.6561543,1557.216282,1815,257.996614,2522.744493,11179.42571,384.6033633,44689.91098,284,20604,3707.782883,509.1288089,13109.4853,1782.575837,552.3189979,11509.27503,696.5050774,2269,15241,8511.340649,2542.879745,3534.705718,1395.807771,2817.07673,27807,17880.97438,2783.21791,4068.999529,70530.43942,2741.641255,109,6587.78022,171.8947911,3085.862559,4717,98362.30981,12814.23272,1056.698115,8724.742718,2340.190647,12129.31263,8757.210702,17826.98176,4979.231899,8342,143,529090.5811,,15018417.15
1973,85227,118516,70032,51724,683965,944755,582713,175791,44851.65721,114064,117251,675941,3664830.657,21103,68355,63397,266896,16452,4101033.657,172314,37177,312176,3536622,4058289,5218.218005,45556.54587,102445.3434,58338.7012,177973.0757,72411.24207,88812.87374,550756,,,,,,,,,,16691,24378,48333,12214,28627,104875,11781,18998,24643,20134,872466,13279,11483,238156,67012,1513070,200720,401643,49816.4967,80728,279302,57729,14098,126364,1210400.497,11030,8145,20209,9617,21337,9084,18593,4810,4866,8411,6566,7052,5487,20908,8553,164668,14392,1389460.497,739414,494832,186900,1242932,82464,96231,75511,53284,35997,18352,29931,29982,7894,67828,13108,19922,3194582,9181,5858,2331,1170,42819,38238,12021.61811,111618.6181,1045.729851,171466,39041.80907,30838.93491,3998.895646,23847.30357,8914.942423,2809.03607,6227.832363,73600.95523,27845.8029,133858,9739.232474,12430.6856,2455,548120.1601,3854320.778,35814.0568,10784,3010.632881,721.95864,4045.47893,1962.898223,7201.419002,146.6028781,1627.203531,1726,228.7957111,2726.702643,12063.65725,412.4222864,45924.33234,289,21285.75,4086.444572,532.533241,13483.87223,1860.999763,558.4521921,12106.64225,878.1796141,2212,15410,8291.63645,2756.459737,3448.781032,1309.036299,3169.361102,28800,18894.04068,2895.387901,3376.704471,76585.47884,2825.69157,106,6216.967033,187.0582775,3180.369668,4625,102498.0762,11783.27846,1113.503389,9007.162136,2245.345324,12050.90724,8704.113712,19373.12068,4930.300105,8594,154,548221.8153,,16015151.75
1974,88588,123494,69379,53291,704012,952571,610040,182763,46731.92774,118212,118957,666755,3734793.928,22002,65868,64122,286732,16510,4190027.928,176586,39390,324928,3526724,4067628,5356.841894,46985.57372,106164.5729,59851.85613,188420.6419,76479.07277,100269.4407,583528,,,,,,,,,,,,,,,,,,,,,,,,,1556984,213739,433322,50301.96349,85370,296370,60773,14541,129038,1283454.963,11598,8583,21272,10171,22585,9675,19779,5114,4826,8095,7505,7221,5945,20919,9011,172299,14585,1470338.963,751924,500146,196374,1227706,85398,104605,78894,53903,40817,19323,30629,32222,8393,70141,13994,20570,3235039,9680,5007,2403,1243,44038,36744,12664.01629,111779.0163,1135.874809,186655,41132.95736,32940.51901,4354.539727,20799.49777,10465.36719,3132.043252,5661.111059,84699.64864,34563.13987,144829,12893.74953,13152.22539,2632,599046.6736,3945864.69,37998.58076,10242,2784.065085,873.0104477,3968.679176,1946.732178,7522.793803,142.5872627,1579.57332,1963,279.3995485,2947.492291,12411.99088,412.4222864,47679.52522,282,21546.66667,5699.310741,638.1828255,14410.92559,1991.967719,583.9795407,12704.00946,931.0820005,2375,13186,8458.611641,2954.523235,3364.541144,1443.392127,3510.861259,30351,17462.99598,3020.577624,3671.384,85464.6078,2959.10477,108,6477.538462,189.5750387,3309.118483,3682,108253.6843,12966.23239,1238.314978,9215.614563,2340.190647,13019.21371,8719.284281,20037.96042,5331.878279,8810,163,573624.182,,16387995.76
1975,88267,121855,68921,53905,699106,947383,596946,182596,49175.0113,119413,110294,665984,3703845.011,23246,69853,61334,296824,16005,4171107.011,181367,38937,332269,3516825,4069398,5497.269976,50848.97562,109300.938,61134.74834,197288.9249,79910.70245,100269.4407,604251,,,,,,,,,,,,,,,,,,,,,,,,,1561399,211850,455918,43807.83913,87347,312998,65587,15406,132728,1325641.839,12364,8755,22336,10659,23772,10193,20164,4995,4949,8093,7493,7338,6328,20388,9181,177008,14783,1517432.839,798346,544683,196374,1265661,90150,111548,82799,56560,40308,20125,30729,32489,8518,73043,14549,21047,3386929,10184,4342,2477,1319,44891,34130,12835.19367,110178.1937,1015.037063,195684,47976.71541,34038.41553,4656.977213,18286.83482,10723.77132,3897.092309,5822.813504,84923.51678,41305.72999,157855,13307.27147,14151.55792,2797,636441.7333,4133548.927,40704.96323,6314,2903.692881,862.0603167,3798.474316,1966.301601,7909.755297,147.0636865,1608.734674,2301,219.2556433,3185.113436,12400.08204,429.5277731,52501.48368,276,21580.33333,6089.603676,598.2963989,12616.24537,2075.88132,629.8956159,12652.23764,854.6961158,2017,14172,8564.069656,3116.990067,3831.230126,1351.022495,3514.455997,32385,14643.41286,3051.624675,3570.466353,82903.78085,3510.101285,116,6965.274725,197.1882414,3407.734597,4960,110252.6381,14611.79399,1282.319064,9693.037864,2326.064748,13952.23776,8541.0301,19040.70081,5124.339979,8890,172,580788.2124,,16637924.99
