GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,Italy ,Netherlands ,Norway ,Sweden ,Switzerland ,UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Serbia/Montenegro/Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (& Timor until '99),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,Turkey ,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,S. Tomé & P.,Senegal ,Seychelles,Sierra Leone,Somalia ,South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Zaire (Congo-Kinshasa),Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,World Total
1997,18808.61952,19015.12438,21387.54311,17261.5816,18824.68008,17708.52522,17692.91834,19619.85756,23774.84456,18361.97151,21003.25388,18526.68358,18450.43445,17142.89655,10902.3998,12426.63875,13643.2499,17194.96152,17578.80726,20110.39464,15289.17546,19952.64705,26051.55069,25023.58885,2086.547245,4624.445486,8409.509776,6146.005235,6356.9963,3114.36792,4466.778769,5413.49178,4632.616877,6113.179744,3008.619464,11322.31554,2670.493004,4466.765481,8771.709239,7716.419749,8409.509776,3868.184784,1951.439724,5406.655949,10091.00404,2938.016673,4956.532667,2020.402056,6491.000162,5775.230184,2314.408559,4717.810322,820.249417,1888.54986,2576.270401,3172.090018,3998.181636,8827.710376,5485.49268,9996.75788,5391.615055,6525.450204,3848.432406,7992.653811,9160.316609,6309.29687,2522.157245,5372.491513,2151.661797,3024.591187,4280.529172,2620.051858,3669.778963,760.2768166,1952.809129,3695.713407,1374.674761,5432.944606,3271.212708,12913.92578,10351.5873,3460.072362,7112.954929,5791.107554,3013.350405,1692.587468,3703.651414,20929.03141,2330.671271,13066.02332,6712.376374,14834.61448,743.7134556,1076.02843,22087.14764,8139.164693,953.077764,1782.186475,20588.35548,3201.019268,3573.528435,540.9086032,1010.913704,1105.398881,1073.556753,1175.988229,1589.047459,2965.941553,1382.652821,4662.849735,4535.229108,962.4704396,15136.67708,4067.177246,11163.8235,3415.552255,7297.892887,8831.612999,7871.848459,7468.992805,6420.722696,12568.40032,2499.779804,4823.383085,5551.031574,3607.451545,2694.064593,713.6059688,1221.766537,3589.454897,854.6745147,517.6041177,1010.151156,1475.659347,558.5849398,441.2182084,624.8556205,2039.630055,1289.474744,1103.113604,2647.040131,4177.142781,605.31707,5002.040925,851.2931645,1191.930528,566.4185788,857.540283,1056.235705,1485.042806,1160.694127,2466.767654,667.8909247,617.7677532,825.476001,1033.59374,9552.836679,2573.352492,1176.634638,3542.750243,479.8349538,1161.071112,652.7301481,1243.12333,1211.766999,6779.661017,454.3234779,895.2637673,3800.973353,879.0833598,2535.832624,504.4600573,677.6381718,4049.356739,716.1150964,267.6462663,659.6720026,1403.039238,1177.582253,1399.843105,,5690.01996
1998,19462.84899,19338.98599,21771.08668,18193.1823,19213.16594,18028.88074,17834.21944,20636.3243,24137.56075,19072.9861,21594.21587,19023.19974,18855.22045,18265.137,11247.9311,12939.09296,14236.24654,17077.06445,18007.6946,20978.19666,15262.75239,20612.56219,26848.77413,25805.00519,2342.521368,4866.304855,8513.642304,6464.320736,6705.232514,2971.019014,4683.060474,5602.401401,5103.680746,6300.598351,3094.365467,11734.61481,2771.927583,4683.049899,8703.376142,8151.405616,8513.642304,4163.974382,2133.247426,5882.302381,10709.53698,3050.949555,4938.072703,2033.866931,6860.270571,6202.245016,2165.933899,4475.443729,846.5434628,1993.68785,2549.13995,3258.603554,3910.685343,9154.772989,5414.209029,10186.48853,5332.67476,6753.275875,3786.912486,8304.347826,8985.67096,6351.680801,2597.913221,5718.133872,2170.288208,3192.68083,4205.294166,2667.797185,3780.537916,762.3574144,1957.757858,3638.817753,1398.305085,5543.081873,3171.600981,13250.90232,10865.65978,3515.277794,7229.454885,5835.09948,2993.193686,1770.559447,3171.986875,20266.72571,2266.513509,12281.61279,5945.431915,15371.4806,767.5607248,1124.835086,20833.64647,7382.818738,946.6130893,1782.338426,19861.42028,3318.498748,3485.478978,556.1953237,1004.387477,1110.365682,1092.767899,1185.105343,1657.907134,2950.528803,1419.842957,4787.423027,4579.59588,1074.551528,15191.97414,4044.007336,10542.18098,3468.6321,7239.660196,9245.270453,7783.355258,7829.208897,6508.05993,12391.21975,2537.667548,5081.331503,5619.533874,3535.707717,2788.129136,748.1691223,1237.440583,3704.472611,881.8200759,529.4331404,1035.388692,1565.048771,567.5290888,461.4057674,611.6432632,2058.336907,1321.129762,1091.894401,2737.948947,4951.945869,580.1536929,5042.469955,851.1735878,1220.97426,584.9538241,601.9014098,1048.659555,1419.213267,1050.547201,2321.813435,673.2842807,622.1256772,846.412877,1045.447481,10018.44642,2724.078822,1289.428798,3581.447768,511.8846693,1154.460053,677.1777524,1231.805894,1244.759666,7100.837069,441.4891219,867.7419929,3777.223217,905.300638,2564.364718,509.0927323,643.5787919,4190.42886,728.4196081,257.8433953,632.5408469,1426.648438,1187.892633,1418.186629,,5708.730954
1999,20065.09388,19964.42827,22254.89057,18855.98507,19753.84717,18380.04362,18160.15635,21460.96301,24470.48502,19917.02416,21796.92565,19516.43119,19319.84182,19921.65095,11616.96079,13355.62691,14871.80158,17459.40086,18497.20853,21571.74721,15975.95137,21563.34966,27734.74985,26680.58082,2566.987629,5027.769177,8595.400345,6755.549893,7013.506265,2939.975648,4608.699218,5734.162109,5389.367041,6260.623105,3212.113331,12398.86894,2322.390725,4608.765872,8825.209359,8157.548021,8595.400345,4303.540732,2278.426872,6099.222802,10785.17213,3160.828305,5126.024227,2079.800328,7144.438558,6101.329726,2096.568919,4776.769944,859.4779432,2288.813577,2567.255119,3352.40258,4102.420841,8746.499472,5377.022859,9984.115207,5025.469409,6915.467485,3759.985985,8025.392987,8299.667085,6258.243163,2554.074259,6144.462719,2306.523116,3392.291893,3829.312031,2706.371652,3853.985142,768.7691692,1871.419093,3595.507701,1634.348457,5617.977528,3103.17606,13738.39137,11631.87251,3550.489583,7356.497275,5765.585093,3162.233832,1844.885385,3147.346961,20197.67626,2293.219373,13350.03477,6154.376493,16078.18886,790.0675505,1233.979672,21366.71977,7673.412809,954.8875285,1802.757425,20885.56602,3427.847265,3592.375857,571.2563173,1092.307457,1166.926429,1075.465994,1199.407376,1714.864687,3115.288507,1470.739364,4898.543928,4635.338801,1132.386401,15234.98673,4045.980543,9975.614698,3392.661486,6979.339326,9319.96885,7509.163522,7391.567342,6101.367741,12116.50219,2547.92369,5338.070059,5465.081529,3623.902724,2834.707191,759.5363216,1254.455056,3844.929495,907.8534257,508.994744,1055.675877,1680.981008,575.9154986,458.0513321,605.7787732,1934.517752,1308.692937,1106.664134,2843.181324,6805.741114,597.2537574,4052.199353,875.7301844,1246.990334,593.2991048,635.7919689,1038.311329,1434.104039,1009.383845,2291.418256,683.964519,631.2485208,882.4385057,1059.949305,10437.04486,2672.481866,1350.362802,3629.719841,491.1379794,1139.17847,713.8425747,1226.04375,1273.763047,6808.554206,403.530756,857.7581512,3807.662137,950.6316892,2609.579973,513.1366331,643.7534097,4394.378045,759.3099419,239.2784597,632.2581901,1401.422542,1192.086481,1430.752576,,5833.255492
2000,20691.41556,20656.45857,22975.16251,19770.36313,20421.69226,18943.51638,18773.56977,22161.44441,25101.94996,20709.98647,22474.85867,20352.8691,19993.23112,21551.3399,12110.86919,13813.42558,15621.71968,17848.80758,19176.00165,21731.90574,16245.66018,22488.1672,28467.06101,27393.80803,2741.420277,5349.921038,8833.059527,7132.267694,7308.837413,3005.539622,4825.551598,5970.165085,5572.28196,6438.607241,3340.784172,12876.63255,2501.308299,4825.475272,9155.582092,8219.698092,8833.059527,4565.035009,2518.366025,6472.271061,11710.00937,3243.626875,5648.025428,2167.490952,7693.585037,6346.336629,2146.446823,5277.440292,913.0350075,2395.202956,2745.477393,3439.161827,4459.612096,8580.565674,5532.236842,10309.09884,5078.986363,7274.678159,3816.958638,7873.497596,8432.511812,6418.342115,2561.439902,6173.734516,2421.754007,3638.525565,3218.624458,2714.005877,3927.198917,761.4871056,1911.571165,3598.210186,1519.756839,5655.172414,3010.550787,14112.74253,12219.64856,3523.157161,7356.329241,5889.237351,3420.865722,1891.724528,3276.487819,20737.60544,2377.01368,14374.5868,6397.870466,16872.47406,822.1405942,1388.637298,23328.38526,8161.614344,994.4733216,1814.377162,22518.17003,3597.094973,3767.830778,565.2309015,1147.505804,1203.223219,1059.030535,1190.30543,1808.773149,3049.622117,1519.112463,5058.843751,4837.936661,1221.223661,16172.35554,4088.574239,10082.73324,3402.660018,7112.830715,9844.26538,7649.82113,7368.300784,6445.811949,12928.59901,2616.898179,5129.564941,5683.782588,3797.608955,2862.675414,770.0486072,1284.611852,4084.111259,898.8970326,495.9769889,1074.624344,1775.606209,574.835309,448.9671301,580.6859699,2004.22624,1246.225994,1102.54351,2935.842149,7676.766033,611.0699279,3844.135005,894.812718,1264.84366,591.4677514,680.2939183,1013.046456,1468.932605,989.656292,2312.992992,695.3398761,639.1258889,893.759813,1084.823783,10593.35611,2652.1262,1338.073567,3660.529343,467.0623776,1161.060013,742.4311225,1225.398254,1313.120161,6367.01281,409.293687,847.5813197,3890.125572,1016.937821,2630.322145,524.8557803,614.2215421,4550.48433,773.0062446,217.6754266,639.7679942,1320.132572,1197.20384,1447.071701,,6037.675887
2001,20812.89375,20761.23828,23059.37497,20245.89653,20683.76193,19156.6899,19068.7086,22433.41557,25468.00304,20890.04474,22594.12463,20589.97366,20234.52705,22605.06776,12625.7913,14021.3212,16163.32774,18250.35765,19463.8633,22270.86141,16675.35175,22598.52758,28405.46479,27387.31203,2924.935796,5626.89993,9081.834423,7443.518041,7399.613302,3180.237476,4988.795501,6143.112873,5715.624241,6679.083074,3175.630938,13220.21173,2649.705077,4988.68636,9400.906697,8475.985909,9081.834423,5028.010604,2754.281432,6799.507791,12549.04999,3421.556167,6401.944338,2258.956761,8372.303364,6768.504825,2284.142515,5573.944666,988.8634363,2459.7495,3028.778648,3547.179865,4750.251295,8124.290338,5524.665959,10534.90392,5068.767908,7177.262338,3766.547102,7561.529271,8590.379131,6360.196476,2550.854548,6135.400106,2482.430979,3710.942071,3334.230739,2709.067607,3947.97944,739.5271139,1911.547405,3626.118201,1532.024589,5587.059621,2993.728223,14332.98593,12768.61489,3555.944531,7218.604639,5846.295193,3758.931478,1966.25527,3358.258007,20736.12292,2364.021186,14947.25985,6487.094801,16354.05967,850.6489933,1529.948689,23245.64538,8027.47409,1025.789231,1799.037945,21641.66139,3503.59416,3921.664537,506.5962946,1191.220196,1240.536078,1043.087925,1177.497871,1910.790779,3008.514242,1564.350724,5200.190281,4979.391879,1293.717616,15755.17705,4175.90171,9764.633115,3506.859336,7387.130786,9958.27572,7469.191103,7447.631654,5868.629208,12496.28394,2626.381229,3962.588163,5526.98039,3927.186275,2894.769428,781.8084494,1305.452868,4210.596327,923.1386181,492.3419752,1105.377238,1864.535112,568.25671,479.1300299,576.738977,1989.206126,1216.74305,1105.583195,2978.747441,10477.96189,638.5171923,3819.867408,916.7083728,1289.15011,610.1991654,666.6896296,998.3161921,1504.490691,982.8412302,2390.948058,714.988959,598.7429862,978.0269365,1103.75319,11232.36256,2771.09342,1476.629012,3660.279738,482.1268925,1170.120881,774.5143902,1235.44267,1337.043041,6149.20235,457.630727,835.3474021,3950.262215,1052.208376,2646.877638,543.6070898,601.2572305,4722.283314,786.7557078,206.5366137,656.047742,1279.338179,1211.469944,1471.156532,,6131.705471
2002,20955.87405,21032.93551,23082.62072,20521.70222,20777.51541,19140.37835,19107.20422,22300.86157,25733.36088,21360.956,22536.33202,20945.65317,20347.22789,23822.71397,13092.77572,14067.84273,16572.83403,18666.90482,19627.70752,22910.41613,17170.34377,23156.41099,28603.92486,27648.64407,3008.688077,5961.643444,9310.658062,7789.007442,7509.972046,3342.782754,5156.677187,6321.395376,5850.089007,6960.679054,3193.901997,13654.31975,2748.743799,5156.591278,9573.34008,8812.669453,9310.658062,5813.685688,3031.939132,7171.756083,13550.11395,3623.33605,7017.691453,2232.612247,8976.751636,7253.663289,2468.507912,5869.167559,1063.841263,2471.772393,3216.177339,3649.556645,5020.114317,7181.136346,5552.343207,10645.57534,5083.558148,7145.360281,3894.2043,6689.726841,7717.013889,6236.996072,2559.47085,6212.721585,2509.863429,3815.207373,3316.909644,2718.936773,3958.546971,722.1451104,1915.287073,3629.732735,1509.708738,5614.718615,2915.789474,14329.96371,13209.4703,3563.064663,7214.939646,5746.609672,4197.145423,2000.918542,3456.118788,20755.27373,2413.229022,15763.57378,6781.834971,16854.59401,873.4669159,1696.672218,23512.567,8197.925718,1003.716824,1819.78872,21698.57964,3601.473712,4125.181251,618.717327,1234.588657,1280.989704,1027.85408,1165.70751,2023.098302,3259.348089,1651.768638,5377.842982,5187.881012,1345.606516,15370.02672,4289.802863,9725.979974,3573.149865,7323.743191,9787.027346,7272.987245,7690.74554,6234.354635,12205.67843,2637.85921,3061.297009,5664.55083,4121.275511,2968.433129,875.8878529,1339.658492,4338.620884,929.0456853,498.9262333,1148.844306,1940.632294,557.0541359,510.5383435,572.6650072,2039.68207,1172.96545,1110.823037,3014.635985,11154.76492,628.7976906,3728.01773,860.2203646,1317.014027,616.4099309,619.5991359,982.4192056,1562.291488,1012.385836,2366.545375,605.5882843,597.3994872,995.3653567,1120.126755,11501.41784,2811.818732,1550.805762,3703.322126,478.5416919,1161.399808,825.9120405,1255.235034,1314.703627,6151.001541,553.1665149,847.940553,4048.010727,1089.082601,2700.242155,569.3112896,611.3660646,4751.866469,814.5403581,207.172363,665.2824954,1202.678203,1210.41509,1482.629352,,6261.734267
2003,21165.04726,21205.85928,23088.58246,20845.80274,20891.07462,19087.57224,19090.07658,22237.16237,25879.39588,21732.99889,22341.77551,21460.89615,20468.92476,24601.53776,13724.61461,13896.62456,17059.17782,19081.9524,19801.14542,23331.81565,17485.60606,23409.04387,29074.23462,28090.27436,3172.706501,6278.138652,9663.766883,8136.51569,7804.241826,3510.349497,5306.179775,6573.365882,5926.646092,7232.937093,3294.867825,14225.75833,2791.091281,5306.157866,9923.728089,9171.76445,9663.766883,6648.49388,3354.49705,7698.099987,14340.27749,4040.425577,7654.924072,2353.726613,9721.718093,7986.147048,2630.650234,6334.929083,1151.647689,2609.143476,3547.285519,3766.74684,5419.629061,7744.391694,5535.850185,10942.18989,5233.816564,7158.907385,3991.604033,6798.641866,7012.752088,6273.305169,2575.18064,6503.462426,2595.003112,3745.547362,3371.403055,2730.852378,3982.089552,711.4027485,1953.085612,3723.352423,1515.883584,5730.844794,2951.167025,14488.00619,15160.22544,3621.385684,7303.656001,5785.841237,4802.843061,2134.42786,3582.096514,21091.91413,2478.510708,16177.35001,7194.510106,17355.84705,904.7349892,1912.580769,24098.21224,8511.585496,1016.693271,1871.937095,21958.0676,3770.934594,4439.033968,668.4316346,1276.317109,1322.290044,1013.259657,1155.798538,2146.559382,3406.959716,1725.583354,5672.638549,3994.585141,1023.201383,15427.17954,4344.844069,10958.88027,3669.866409,7220.861882,9925.281127,7629.41609,7585.379806,6498.864223,13022.75103,2643.784674,2573.634544,5451.173232,4388.982705,3130.409326,881.3349625,1348.147925,4429.146043,966.4461707,477.3969374,1166.231468,2014.047436,506.5725727,564.8464281,570.0552053,2005.416705,1128.735637,1124.406624,3052.277016,12824.50782,587.3357809,3732.488483,890.1135527,1354.47614,607.0443644,603.7133149,982.846417,1597.678313,696.7751298,2446.775584,645.1454228,606.6433092,1040.870896,1153.286738,12182.59727,2934.238573,1638.439552,3788.890962,481.8080884,1257.725085,813.6314228,1295.285275,1363.050035,5728.284318,572.2741092,860.9970537,4129.609906,1144.601005,2751.711124,588.1965375,625.8646943,4965.790333,822.8489958,212.6902399,688.5225349,1082.220856,1208.957327,1517.935644,,6469.119575
2004,21626.92932,21801.60251,23492.66412,21574.4062,21262.25733,19283.67049,19299.90861,22602.00406,26765.19709,22292.00979,22786.74415,22095.65881,20847.20258,25379.39992,14319.00303,14047.79201,17588.1897,19498.7544,20199.2207,23619.15479,17911.67665,23942.89715,29845.23883,28807.84596,3342.635201,6755.145303,10127.86105,8548.424476,8225.643846,3812.967974,5568.375508,6942.136596,6140.016398,7545.472194,3421.916244,14854.78552,2997.496746,5568.371128,10376.35692,9658.403777,10127.86105,7371.897732,3720.381526,8618.405032,15635.80747,4294.304172,8346.835094,2487.686043,11077.4546,8598.355996,2831.147918,6828.94911,1250.897129,2958.767361,4006.933728,4014.161718,5889.429267,8352.924475,5772.045536,11478.59308,5395.651764,7357.193093,4132.116393,7558.426307,8176.149368,6585.047988,2629.946043,6680.474867,2735.559887,3736.565747,3561.041293,2732.939035,4035.510888,673.3454766,2025.406558,3741.614449,1923.447169,5869.523196,2995.803067,14655.62404,16412.42938,3739.107166,7450.145415,6063.068969,5168.708601,2278.208585,3708.853924,21576.27079,2581.48713,16873.43966,7592.516704,18350.31658,948.0677339,2149.663717,25997.48363,8930.964892,1036.231562,1973.724936,23467.274,3934.14518,4690.460586,685.1098159,1800.25852,1372.913541,1062.109697,1147.612691,2289.578867,3559.879255,1846.347046,5896.271644,5810.121999,995.3224652,15920.87194,4591.707802,11710.93075,3889.515026,7358.743116,11163.34112,7834.937114,7611.087251,6973.848508,13641.68263,2656.879687,2484.815019,6107.556436,4661.517477,3250.515756,951.2668019,1346.914791,4488.802057,979.9605923,482.556905,1181.846468,2084.966597,505.993413,725.4616712,576.457241,2022.694593,1119.734895,1130.86314,3118.778053,16415.94806,643.049763,3685.836829,925.7848512,1399.822613,608.4499306,604.9349425,1000.026879,1659.691358,715.5293725,2508.530014,659.1007684,622.5344536,1039.31031,1183.184403,12640.62841,3061.780294,1726.611021,3992.233807,460.4610734,1304.696215,824.7245586,1331.623866,1402.100077,5495.962396,595.9318763,878.5423479,4156.093741,1186.650107,2803.620897,614.1935233,623.1780367,5210.079722,834.5921615,219.9898414,714.8313642,1048.227676,1229.251776,1558.099461,,6738.281333
2005,22140.7259,22246.56198,23972.56428,22140.57321,21536.06625,19417.05702,19419.77797,22928.55135,27377.28664,22986.66963,23258.96571,22517.9714,21130.89417,26643.33477,14705.45503,14117.83144,18193.96134,19658.983,20522.23801,23996.04587,18231.2253,24470.04879,30481.3538,29415.39933,3518.272791,7239.123966,10770.71235,8912.908027,8526.716542,3973.850936,5807.807939,7261.721015,6257.315776,7864.046919,3553.09002,15496.72562,3188.603531,5807.876264,11035.49234,10271.45488,10770.71235,8420.317918,4596.681637,9473.748598,17218.18631,4723.135776,9131.069699,2451.284724,12337.58777,9298.182153,3048.387097,7303.202219,1309.904622,3303.173242,4145.446027,4251.130369,6315.289752,9019.192976,5877.826163,12000.87527,5617.726218,7511.009374,4352.358205,8012.554745,8888.440381,6819.270844,2692.460317,6968.897736,3031.785273,4022.447183,3693.456302,2768.1764,4085.529016,672.4240619,2100.893679,3745.706978,1600.475407,5942.313788,3006.928043,14984.7915,17327.40501,3825.804958,7997.179609,6265.525702,5575.372779,2422.985233,3869.615198,21976.39116,2656.194116,17493.05809,7885.596969,19054.73304,993.394883,2416.962519,27667.44276,9235.171219,1053.153391,2083.526358,24771.78855,4137.090705,4934.051703,757.7937736,2005.570413,1435.225613,1046.757251,1140.163636,2455.971573,3718.08633,1962.473573,6265.753365,6044.574724,961.8059601,16422.12604,4835.641658,12519.00971,3935.794817,7465.87464,11773.43582,8079.239935,7767.408874,7449.354864,14115.14995,2710.664466,2392.344498,6368.035866,4900.563281,3374.00246,1116.345037,1341.269004,4480.695782,1017.413405,469.5060924,1181.823074,2203.721257,510.1014218,757.5001665,583.6477388,2119.865638,1115.932336,1143.269499,3200.48956,17506.06454,697.677716,3711.42589,944.7766453,1451.89615,614.2851056,613.7923671,1030.368576,1668.011431,729.4519049,2702.598168,668.9542901,628.2888439,1074.75043,1216.376544,12957.61819,3103.862494,1836.259881,4048.105954,480.7840305,1346.237507,860.5038949,1364.576448,1439.794232,5745.893236,623.5444459,896.6633225,4315.861904,1239.154617,2864.982117,645.714375,613.7047265,5369.675516,856.4015037,230.1338222,742.3047397,1014.565096,1254.939656,1603.686517,,6960.031035
2006,22892.68243,22881.63281,24680.49288,23190.28354,21920.18075,20040.62032,19797.77274,23587.41897,27898.94205,23912.27681,23985.59052,23106.87298,21684.25591,27760.3339,15338.89505,14261.91345,18895.31624,20074.45957,21087.30479,24358.53385,18404.88998,24970.72603,31004.46318,29922.74192,3692.706305,7762.782811,11561.85783,9284.229944,9060.362429,4337.694731,6123.26087,7730.09757,6587.054476,8235.832524,3685.833194,16417.06631,3380.593263,6123.360441,11792.44108,11127.9674,11561.85783,9552.905349,5961.567072,10466.92607,19062.42614,5184.841787,10076.64553,2494.678645,13937.00805,10053.24735,3199.123212,7904.694198,1375.432028,3636.228814,4480.39468,4515.516598,6872.621717,9678.850911,6033.890604,12431.67606,5917.219149,7795.064706,4624.520803,8528.608771,9626.652627,7114.058949,2767.351351,7472.535557,3387.871854,4026.230219,3767.191205,2834.553441,4212.123645,679.059979,2191.088346,3814.063066,1631.210762,6099.189021,3060.070671,15297.20502,19854.25101,3968.649117,8380.697655,6530.533583,6047.562203,2617.000416,4029.628566,22419.78591,2741.458612,18357.43203,8238.385576,19898.54475,1043.682519,2710.880663,29426.12218,9597.354408,1076.515918,2165.530197,26455.48345,4409.706529,5232.158284,790.1601047,2184.818903,1518.729506,1031.493916,1133.373677,2630.049754,3901.295379,2077.417778,6587.602081,6366.822379,994.4225492,16980.35613,5092.470322,12707.61204,3909.995075,7657.058617,13254.81948,8152.108508,7976.490678,7849.700603,14792.84393,2702.417386,2318.392581,6617.759081,5187.253152,3399.864882,1292.357994,1348.156581,4619.416583,1040.46919,475.3977346,1192.21722,2426.062025,521.2600807,739.5619526,572.775793,2190.301659,1100.078704,1173.617249,3358.010455,17243.35953,749.0039453,3675.00659,977.7261197,1513.657977,616.6453147,605.7888181,1066.406023,1799.813091,749.6766568,2817.606021,681.532865,654.8600151,1102.507515,1321.714165,13297.16577,3294.091977,1959.423036,4291.537609,489.9600904,1400.150464,898.4070628,1409.876365,1433.787639,5813.816364,640.3150683,918.1433814,4502.660151,1350.174821,2953.357024,674.7469323,620.6857027,5598.480745,916.2000668,235.603796,776.2937276,958.4795163,1275.198087,1663.531318,,7238.383483
2007,23674.04113,23446.94967,24995.24517,24131.51957,22287.36535,20546.93611,20109.62319,24319.86071,28013.19641,24495.95837,24748.03304,23642.48014,22163.65566,29090.41086,15925.3112,14482.23011,19551.15867,20414.10818,21589.01135,25014.21687,18800.82285,25809.1768,31357.36524,30344.42529,3904.71051,8314.513268,12432.12182,9419.443823,9681.127443,4564.632087,6428.956054,8192.881904,6952.904948,8691.584292,3893.157061,17542.90791,3437.430675,6429.048184,12520.01223,12267.09049,12432.12182,10878.8047,7307.635468,11415.01285,20565.9649,5842.441342,10936.3282,2670.628705,15432.27085,10980.19012,3298.914299,8586.739097,1454.853752,4012.149141,4867.775378,4895.380184,7489.574155,10406.65185,6195.958106,12893.82974,6269.55836,7972.114966,4970.356486,9129.153424,10262.71903,7397.84902,2840.653512,7868.020305,3624.978059,4303.224429,3801.839406,2917.386298,4381.442489,689.47308,2280.136343,3835.370237,1652.288732,6410.067526,3189.683611,15313.92209,20801.29765,4096.762157,8753.369106,6783.869986,6303.024164,2817.002193,4227.993923,22950.20128,2877.148402,19243.02906,8584.076981,20961.92673,1094.927136,3008.657204,31130.11094,10013.47158,1097.352293,2239.983435,28137.87541,4662.693838,5456.75669,862.6235943,2366.692427,1594.14339,1016.33384,1127.18243,2824.845703,4024.242637,2208.035498,7019.742497,6824.371829,983.0674862,17548.62832,5411.524133,12572.0448,4152.335166,7982.148526,15050.9819,8243.841297,8124.983465,8104.126486,15094.47209,2696.651735,2247.191011,6849.859022,5408.383588,3459.517806,1520.35341,1368.299566,4728.178102,1044.861815,474.9416156,1204.127355,2598.993862,532.2811376,723.2697945,559.4468504,2099.76404,1093.941145,1208.765971,3534.435461,20361.37608,805.4074382,3801.020426,1010.448607,1568.380404,613.1118788,609.0522685,1110.481384,1888.23778,780.9930815,2960.618621,702.3564161,694.4699185,1119.762389,1302.720956,13740.81315,3318.985916,2058.923489,4484.231243,487.5933487,1467.691832,943.0221058,1446.251007,1460.183389,6020.86299,665.7608894,949.5664314,4689.093509,1457.464086,3065.134776,694.9737208,615.4435464,5892.497089,958.476483,242.6145594,811.5916371,900.2736738,1313.937589,1724.226776,,7467.648232
