GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byzantium/  Ottoman Empire/ Turkey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,(Centre-   North)           Italy ,Holland/     Netherlands ,Norway ,Sweden ,Switzerland ,England/GB/UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Montenegro,Serbia,Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (Java before 1880),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,Sao Tomé & Principe,Senegal ,Seychelles,Sierra Leone,Somalia ,Cape Colony/ South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Congo-Kinshasa,Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,Total World,,,,,
1909,3275.979389,3970.920834,3642.516696,1884.303208,3166.814785,3274.705697,2173.41734,3671.254266,2114.712196,2497.317996,6664.735344,4510.523181,3424.69406,,1631.818284,1208.090504,1977.485929,,,4980.59841,4770.454102,3849.597598,5017.495988,4934.328137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.621668,3698.744592,776.2250621,2725.694695,751.4829203,1680.002667,976.499388,2956.685499,864.9970215,1491.694935,,,,,724.345897,,,,,,,,,,,,,,,699.6372712,768.7292082,1300.542491,774.5571659,,,830.2734494,,,,,,,1479.835366,1152.889858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,
1910,3290.373148,4063.866898,3705.083276,1906.447934,2965.207015,3347.647796,2175.517608,3782.947209,2185.965971,2543.128515,6884.952258,4610.780034,3441.782893,,1625.515862,1227.906186,1895.105247,,,5209.828571,5316.307177,4065.761269,4963.735703,4916.195521,780.3203661,,1990.988909,2000.392465,1689.986489,1660.037081,973.0302119,1667.026339,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.340402,3821.71049,768.7252431,3000.107609,779.0332571,1693.533333,980.9040367,3135.985199,885.5622577,1531.125186,,,,,746.0762739,,,,,,,,,,,,,,,696.5872228,806.6549668,1303.755261,874.2805552,,,844.4435255,,,,,,,1606.233973,1208.011997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.094891,,,,,,,,,,,,,,,,,,
1911,3365.213225,4148.264999,3856.660953,1939.132681,3249.577093,3408.404498,2199.16121,3862.703909,2255.090395,2606.408279,6926.688071,4708.899929,3548.114108,,2027.327479,1241.617523,2017.205162,,,5103.777778,5493.846298,4212.537652,5045.683904,4994.998787,,1136.676579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.723344,3746.150714,835.6768193,2886.534444,802.1654714,1706.737825,989.4962998,2956.834532,936.9487031,1554.28474,,,,,768.4585621,,,,,,,,,,,,,,,690.7093369,835.6977626,1355.578015,912.6439327,455.1201278,,789.4474707,,606.5208419,,800.8088979,,,1471.262637,1160.184991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,3505.094438,4206.388538,3812.226364,2022.401935,3514.493436,3523.693687,2201.376559,3918.059433,2344.458414,2705.307971,7211.931969,4761.747325,3656.377524,,1966.970977,1256.539235,1988.672496,,,5098.476722,5209.252747,4377.130755,5200.698473,5139.007666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.953958,3903.622867,809.1764503,2967.751512,825.653649,1718.291055,1011.551155,3507.867133,961.944224,1583.766872,,,,,791.512319,,,,,,,,,,,,,,,688.6816084,839.8466572,1384.082605,911.3621551,470.889395,,742.4942894,,,,821.8181818,,,1413.967844,1156.563545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,3465.494311,4219.54083,3912.168957,2110.670631,3484.769554,3648.006394,2304.792757,4048.507463,2447.064977,2874.078998,7092.612002,4920.545905,3747.136381,2736.079153,1177.072815,1250.334896,2055.618615,2829.896907,3487.947008,5156.813939,5152.406417,4446.765155,5300.729463,5232.816582,810.6904232,,2095.541252,2097.874505,1739.011606,1741.039355,973.0555297,1726.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.967589,3797.243378,810.989011,2988.345051,845.218901,1731.529726,1032.363213,3310.11045,1103.833165,1585.884741,,,1752,,815.2576886,,,,,610.7276388,,,,,,1240.117262,1173.913043,1552.335988,552.296747,672.5123477,868.5001741,1386.689116,988.0647911,485.4522701,840.6030613,807.0434888,,685.1371086,1279.26078,900.1297017,538.9253414,,1366.851126,1234.254833,673.264205,,,,,485.4522701,727.1317028,751.8998659,755.5245113,,1000,1000,,1000,,1349.768875,,,,1350.05015,1213,,,1250,1132.98037,690.9673092,1163.361834,,,,,,,,,,,,,,901.6798419,,,,,780.7146353,,,,,,,,,,,,710.2328311,,,,,,,,,,,,,,,,882.8877005,,,,,,908.3442715,,1543.158976,,,,,
1914,2875.629529,3923.332513,4110.407555,2000.617098,3236.336219,3059.290487,2179.156425,3868.283416,2472.279464,2935.06639,6638.709249,4926.582119,3474.363723,,1502.47117,1257.525084,2013.677812,2638.76652,,5026.758565,5189.244094,4025.284567,4799.201136,4757.899282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.223149,3302.223462,779.9346054,2496.845956,860.5568425,1744.318182,1013.103448,2654.129191,956.4305056,1472.559838,,,,,831.5628424,,,,,,,,,,,,,,,708.5526316,858.6015473,1326.502214,951.6989022,503.6528851,,778.2800734,,,,920.1653944,,,1366.826011,1209.797437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,2652.991983,3858.079392,3777.947627,1881.677587,3248.066747,2899.012351,2069.693719,3925.681001,2554.23106,3036.998392,6623.333471,5288.265818,3472.76084,,1143.038895,1227.788911,2032.919406,2686.905633,,4896.600282,5173.794271,4232.888292,4864.192617,4823.819062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389.628803,3243.723181,797.9249412,2389.093043,883.1198627,1757.190635,1086.719637,2470.304976,979.5569848,1472.629481,,,,,848.1940992,,,,,,,,,,,,,,,690.6969099,860.3119141,1429.715006,875.1666838,585.0946968,,810.2244228,,,,937.6364203,,,1376.591243,1136.391437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,2627.5919,4080.434682,3891.258085,1893.037037,3463.330759,2934.50336,2240.260297,3956.187078,2627.837432,3205.494453,7058.369556,5384.380402,3595.700138,,971.8462371,1233.655771,2113.239491,2787.746171,,4878.304743,5120.314286,4646.114926,5458.6929,5373.498483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.483156,3091.145833,804.1830377,2895.181627,910.8254694,1770.147256,1184.529148,2508.274232,920.6398223,1491.176209,,,,,856.6760402,,,,,,,,,,,,,,,710.1642036,857.8209539,1629.71796,1002.918386,568.4544698,,873.3596083,,822.5296443,,996.0256802,,,1228.219906,1172.601086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,2586.300411,3519.110622,3616.58147,1580.888924,2978.927153,2952.079072,2247.153255,3626.613315,2361.311572,3010.525378,6820.661391,5421.016218,3479.587639,,848.2078853,1212.489592,2073.422709,2712.209302,,4791.111111,5008.192708,4800.580887,5247.736874,5194.965523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.814478,2790.122292,841.9089072,2923.318082,930.0215144,1783.255191,1212.751826,2717.49226,1068.966435,1484.169528,,,,,865.2428006,,,,,,,,,,,,,,,696.6568241,850.4201587,1665.063192,1147.709321,624.4664089,,979.4019329,,,,1033.563081,,,1434.96656,1217.65873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,2554.813863,2861.279765,3458.597156,1369.8016,2395.5288,2983.157411,2190.668137,3352.219342,2242.881649,2782.245137,6217.180241,5459.314568,3337.226659,,1430.071174,1149.675703,2045.059666,2633.333333,,4601.550079,4910.849481,4440.594698,5658.984394,5521.863839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.101171,3247.876144,807.6644975,2925.875624,962.9212381,1796.447721,1204.85352,2827.507599,1057.472172,1532.573094,,,,,873.8952286,,,,,,,,,,,,,,,607.020649,867.2609846,1668.413329,1285.67277,667.9782776,,935.5947513,,,,969.4477086,,,1334.476136,1107.457428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.605839,,,,,,,,,,,,,,,,,,
1919,2258.998198,3389.4199,3859.628357,1658.229387,2811.375116,2586.271822,2102.737999,4121.883909,2601.956788,2824.655477,6175.757936,4870.407917,3217.302553,,1274.204947,1173.227039,2044.094638,2489.884393,,4715.578664,5282.721339,4019.343004,5680.406493,5516.927389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.5409747,3307.486119,895.2487423,2480.490215,1022.269073,1809.725017,1229.540056,3134.9739,982.7768625,1560.483177,,,,,891.3731332,,,,,,,,,,,,,,,690.2391091,937.1708237,1827.214396,1212.412089,706.2002556,,961.508343,,,,1157.50072,,,1348.931609,1166.441398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,2412.310457,3961.993512,3991.989513,1845.529844,3226.921,2795.595625,2152.784285,4219.902161,2739.061063,3004.167171,6567.965615,4547.913629,3333.408081,,1432.631579,1229.225411,2177.185381,2536.357091,,4765.584173,5641.249799,3861.476245,5552.327364,5397.098088,,,1933.193719,1708.867878,,,949.3782767,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.8589543,3473.068669,963.1075755,2768.184623,1070.51542,1823.087248,1226.226013,2673.960613,1172.6914,1628.049141,,1623.809524,,,909.2005958,932.4786325,1272.385723,,1273.611111,,1264.0625,,,,,,,,,634.9836387,899.1739103,1695.754291,1289.137529,609.7060955,,948.8017992,,,,1110.296192,,,1460.173876,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,2650.13607,4056.306903,3826.054795,1884.452681,3074.625765,3077.82632,2079.500013,4431.396474,2442.899665,2849.533428,5543.013926,4439.151343,3319.926636,2532.622739,1918.108617,1289.902817,2212.41418,2402.01005,3135.728964,4910.822194,5128.087059,3357.010191,5322.733591,5160.427025,,1000.154093,2084.645501,,,,958.7416196,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.1813816,3471.127329,963.3522829,2369.802825,1109.713682,1835.918093,1257.13686,2751.0699,1213.913368,1618.45197,,1553.488372,,,918.2926018,919.3277311,1382.28005,,1252.702703,,1312.5,,,,,,,,,679.4175073,890.4750147,1859.502531,1235.364069,652.4800791,,978.8175439,,710.8689071,,1074.903261,,,1586.513786,1059.012066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,2877.48943,4413.479197,4166.351595,2058.01433,3610.392314,3330.98546,2231.231754,4599.215017,2678.080112,3053.63986,6486.719299,4636.935184,3608.912955,2598.267821,1963.497453,1429.873088,2283.613834,2748.927039,3395.271547,5063.688554,4841.144172,3793.14554,5539.843679,5385.219537,,,2005.883968,,,,972.8556053,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.787639,3635.640028,1009.074347,2425.782725,1161.391536,1850.353625,1344.563869,3078.157711,1240.650823,1683.50787,,1690.697674,,,927.4755278,950,1291.232373,,1309.090909,,1183.076923,,,,,,,,,701.0115979,904.7967873,1831.122481,1357.26465,594.4816863,,1083.945271,,,,1151.703624,,,1622.886743,1086.454257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,2842.219624,4533.240341,4558.811085,2186.79926,3753.525677,2749.578699,2413.77676,4634.998601,2732.124831,3151.339262,6711.094856,4759.709615,3552.228912,2574.651626,1987.853577,1473.40511,2289.92539,2696.148359,3347.647028,5192.030893,5144.479638,3975.957649,6164.199035,5953.226812,,,2150.613646,,,,1009.020074,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.5068251,3897.858787,1045.595001,2884.600983,1211.016705,1884.102297,1414.936915,3169.96587,1420.252065,1784.931763,,1527.272727,,,936.7502831,974.1935484,1405.339806,,1252.5,,1266.153846,,,,,,,,,671.2723214,912.0812265,1809.350484,1249.867934,631.4437741,,1103.719176,,,,1109.817412,,,1644.336672,1065.610026,,,,,,,,,,,,,,,,,,,,,712.1135692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,3162.775831,4637.788374,4528.194158,2224.043704,4179.463508,3198.82929,2456.980271,4895.494906,2715.120822,3366.498759,7226.394059,4920.942046,3827.760452,2569.051581,2056.833333,1401.269841,2331.007295,2894.100924,3587.326223,5417.425675,5142.948889,3977.019374,6232.550673,6023.563281,,1025.945575,2352.787572,1912.062763,,,1066.190068,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.2631772,4055.262175,1023.920869,3061.679684,1255.013078,1825.036838,1524.038462,3397.196262,1630.026166,1822.191372,,1708.888889,,,946.1177859,1017.322835,1503.903904,,1141.463415,,1321.212121,,,,,,,,,697.0729397,948.0480807,1836.317214,1338.429645,630.1832848,,1184.747568,,,,1060.056951,,,1639.549284,1127.659574,,,,,,,,,,,,,,,,,,,,,846.1483391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.715328,,,,,,,,,,,,,,,,,,
1925,3366.93938,4665.552642,4378.379562,2328.194915,4166.378207,3531.678435,2602.34143,5030.976785,2863.155241,3442.96005,7361.067634,5144.494463,4005.339683,2572.864322,2139.644176,1446.064597,2450.520366,3031.892275,3752.718792,5553.087666,5291.581042,4340.275631,6282.418871,6100.309805,,1222.829067,2605.981324,2279.122368,,,1102.779113,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.789224,3919.409547,1007.38494,3152.441654,1254.768571,1908.035827,1540.236686,3187.744459,2081.325287,1836.624768,,1665.217391,1827,,955.5789638,925.3846154,1460.166468,,1329.411765,676.151404,1459.090909,,,,,,,,,698.2650828,955.0080682,1885.161755,1323.474576,625.0173015,,1229.245626,,,,1201.06356,,,1907.331367,1186.920981,,,,,,,,,,,,,,,,,,,,,935.9840671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.019063,,,,,,,,,,,,,,,,,,
1926,3413.056338,4783.595105,4597.682503,2391.808925,4249.46851,3604.636178,2600.22774,5357.759336,2889.272777,3610.616075,7497.24361,4936.113636,4025.426472,2571.524739,2179.576299,1419.080068,2416.910916,3048.728814,3766.621022,5572.559367,4904.842776,4497.05714,6602.442214,6387.020615,,1240.704351,2575.373201,2162.109555,,1257.533198,1163.08455,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.550024,3994.01844,1008.302911,2850.49023,1340.244591,1991.181767,1670.291262,3397.835773,2487.005461,1886.865791,,1802.12766,,,965.1347534,1069.172932,1459.682166,,1295.454545,,1249.253731,,,,,,,,,712.9022277,999.5975793,1871.577781,1363.628804,643.0340794,,1226.164719,,813.5909777,,1316.493314,,,1834.269698,1266.366096,,,,,,,,,,,,,,,,,,,,,1079.429016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.531857,,,,,,,,,,,,,,,,,,
1927,3505.434093,4923.259236,4657.92518,2557.117577,4153.970518,3941.099292,2530.702905,5504.198126,2985.56728,3728.04024,7962.013854,5314.938245,4188.767974,2653.026716,2220.173005,1647.598654,2599.903284,3171.126761,3928.217208,5543.794441,4682.730689,4846.996466,6576.498946,6384.993002,,1181.875513,2751.686999,2237.335762,,1241.32071,1127.996654,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.704566,4155.636662,1059.803084,2759.779069,1423.838406,1874.786011,1673.804971,3797.263682,2761.048221,1929.366549,,1636.170213,,,994.088796,925.9259259,1539.312755,,1406.741573,,1255.223881,,,,,,,,,705.9620098,1050.164418,1869.766547,1365.948801,665.2826023,,1203.677545,,,,1251.21124,,,1754.177657,1261.491683,,,,,,,,,,,,,,,,,,,,,974.4561404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.652213,,,,,,,,,,,,,,,,,,
1928,3657.268704,5139.470633,4785.467544,2707.235277,4431.465311,4089.994254,2666.199738,5719.598906,3105.901656,3834.659346,8353.462231,5356.965334,4347.365295,2737.092391,2234.327156,1470.312736,2583.931758,3294.035088,4058.75518,5451.77665,5140.875516,5171.589196,6569.345446,6401.886924,,1212.678459,2977.171898,2414.978578,,1224.54123,1209.921785,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.925976,4291.301697,1158.187008,3332.359364,1489.689314,1856.738699,1754.329819,3905.832321,3057.181269,2038.973641,,1685.416667,,,1023.91146,1054.676259,1557.348703,,1547.252747,,1589.552239,,,,,,,,,705.929633,1075.632991,1992.371867,1391.852029,664.4051392,,1212.593781,,,,1389.481166,,,2181.432309,1256.893543,,,,,,,,,,,,,,,,,,,,,1063.000829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533.088339,,,,,,,,,,,,,,,,,,
1929,3698.529562,5054.21875,5075.355316,2716.817757,4709.997963,4051.406417,2777.989637,5688.790799,3387.390268,4062.727558,8635.802262,5503.31805,4452.163155,2823.970037,2341.992032,1610.0582,2738.905644,3365.990203,4167.138792,5262.976861,5262.242692,5065.4459,6898.722156,6672.528747,926.3050154,1227.010607,3042.373679,2475.819441,2117.323227,1152.417903,1255.884007,1981.6005,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.863025,4367.067703,1137.441479,3455.4293,1504.703517,1757.214815,1907.524092,3847.477745,3426.482399,2053.435358,,1581.632653,1639,,1054.628804,1041.134752,1720.479179,,1498.924731,699.8849583,1750,,,,,,,,562.4978195,727.7364155,1086.674466,2025.734678,1412.567882,624.0056606,793.4980926,1249.452304,,,,1682.344764,,,2335.042662,1335.508908,,,,,,,,,,,,,,,,,,,,,1213.3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.135469,,,,,,,,,,,,,,,,,,
1930,3585.71544,4978.618252,5340.787691,2665.633807,4531.558399,3973.357507,2630.982256,5602.530441,3627.104572,4237.690981,8491.669254,5440.862469,4357.320196,2897.164332,2258.227051,1570.754717,2620.388142,3290.794979,4072.898039,4708.301128,4960.121232,4810.6045,6212.712707,6027.602668,,1274.060909,2925.810183,2403.680524,1994.283822,1218.815055,1213.800821,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.424908,4079.581957,1048.230458,2858.763916,1474.041255,1617.874818,1662.956204,4301.225919,3444.475267,1913.134072,,1626,1505.342716,,1065.175092,1045.138889,1775.832863,,1563.157895,,1414.705882,,,,,,,,567.6216769,725.6153389,1087.287198,1850.391321,1381.688646,585.8178352,,1267.869158,,,,1635.848629,,,1925.344877,1265.113019,,,,,,,,,,,,,,,,,,,,,1249.26313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.123381,,,,,,,,,,,,,,,,,,
1931,3287.686801,4860.409427,5359.240684,2580.597238,4235.260463,3651.513994,2578.904746,5185.049381,3323.45734,4129.224155,8437.190861,5138.415853,4112.043584,2971.70133,2134.47205,1631.096229,2528.870116,3100.76442,3853.561238,4353.608089,4475.120211,4003.692596,5691.366596,5492.118083,,1285.360643,2808.727669,2268.272996,1823.417419,1228.848407,1160.697537,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.545455,3711.655441,1004.232835,2217.67227,1447.738785,1643.020595,1504.040223,3500.287191,2753.992276,1762.458248,,1574.509804,1241.176471,,1043.87159,923.9726027,1620.441989,,1563.917526,,1304.347826,,,,,,,,569.1640955,711.111437,1001.442797,1837.34094,1360.183608,584.0908114,,1252.535993,,902.3658553,,1548.415688,,,1570.517445,1202.853166,,,,,,,,,,,,,,,,,,,,,1302.425201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.561049,,,,,,,,,,,,,,,,,,
1932,2939.656952,4607.451991,5169.392173,2549.763631,3959.122862,3361.677521,2615.1749,5035.238828,3466.557562,3967.884265,7862.159922,5148.253286,3953.793558,2885.045778,2288.520565,1642.507909,2559.442608,3198.198198,3723.781305,4563.76349,4327.231827,3671.452659,4908.36578,4794.009208,,1218.966728,2679.741187,2192.35408,1657.618288,1144.489428,1038.224359,,,,,,,,,,,,,,,,,,,,,,,,,,,,1438.9928,3521.821986,1018.36542,1844.45583,1510.782751,1372.512648,1423.144876,3196.045198,2612.910754,1657.020667,,1421.153846,977.4096386,,1022.994158,823.1292517,1380.107527,,1372.727273,,1173.913043,,,,,,,,582.9133984,709.1064199,945.445563,1961.583284,1387.591294,580.2285016,,1295.989999,,,,1396.828844,,,1502.294167,1140.981341,,,,,,,,,,,,,,,,,,,,,1204.619177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.986831,,,,,,,,,,,,,,,,,,
1933,2833.170027,4680.509902,5290.528489,2701.64464,4239.12583,3555.787784,2565.061393,4956.462304,3533.552626,4033.433068,8057.293031,5277.460748,4077.699061,2800.135044,2394.780762,1732.102273,2485.946439,3087.016575,3825.062463,4842.406877,4575.999351,3370.406081,4776.915478,4672.056846,,1303.140167,2551.798337,2373.784835,1589.717594,1184.475946,1055.817341,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.114469,3621.314863,1075.715527,2236.347121,1576.679465,1501.021253,1557.892907,2750.416898,2831.015622,1752.031621,,1660.377358,1037.684729,,1022.994158,922.147651,1357.591623,,1262.376238,723.6160768,1455.714286,,,,,,,,578.608,699.8374679,937.6103098,2122.435623,1368.131092,696.1930146,,1228.229231,,,,1439.642325,,,2010.683385,1150.042918,,,,,,,,,,,,,,,,,,,,,1341.61451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.689783,,,,,,,,,,,,,,,,,,
1934,2851.586095,4623.796538,5402.070376,2988.37419,4191.730942,3858.211989,2538.052641,4804.907085,3638.015578,4294.083698,8086.253572,5607.508036,4218.337326,2881.85796,2418.211722,1783.920303,2555.792846,3198.210599,3952.664534,5059.862317,4767.835052,3691.029556,5113.607593,5000.187368,,1176.512928,2442.836645,2369.640869,1593.471487,1181.996708,1080.105424,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.137907,3844.818097,1142.319525,2655.490299,1525.569169,1573.922472,1740.335272,3220.88573,2994.886942,1866.498071,,1437.037037,1196.035775,,1022.994158,939.7350993,1511.85567,,1210.784314,,1302.816901,,,,,,,,525.4088919,696.6029246,935.2374857,2098.341636,1348.209974,690,,1262,,,,1539.745462,,,1897.837362,1259.707084,,,,,,,,,,,,,,,,,,,,,1351.125361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577,,,,,,,,,,,,,,,,,,
1935,2906.661441,4894.201014,5479.688769,3092.661913,4085.931187,4119.812774,2654.107925,4929.455774,3799.626701,4491.728388,7697.796848,5799.005291,4350.468302,2966.004712,2479.905785,1668.652993,2582.773913,3319.835278,4065.994299,5317.587641,4959.372599,3950.625,5466.837946,5339.999138,,1249.578153,2409.898015,2471.219116,1596.714061,1196.210448,1049.243944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.869158,3950.009064,1149.986541,2761.24334,1676.538452,1660.348224,1873.085339,3355.567509,3180.65656,1937.170216,,1527.272727,1371.239043,,1022.994158,1020.915033,1712.121212,,1134.615385,,1287.671233,,,,,,,,564.8278619,680.4242928,943.5635114,2120.468486,1227.37991,746.6392113,,1361.471266,,,,1364.417178,,,2338.325026,1183.99186,,,,,,,,,,,,,,,,,,,,,1357.036762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.518294,,,,,,,,,,,,,,,,,,
